Month Num,Month,BRANCH,"New Library Card Registrations, Adult (includes YA)","New Library Card Registrations, Juvenile",Gate Count,PC Reservations,WiFi - Unique Sessions,External Party Library Room Use,Total Branch Circulation,Hotspots Circulation,Curbside,ILL - Sent (Main ONLY),ILL - Received (Main ONLY),ICLs - Sent (MAIN ONLY),ICLs - Received (MAIN ONLY),Total Prints per Month,I2:  ONSITE Sessions 0-5,I3:   ONSITE Sessions 6-11,I4: ONSITE Sessions 12-18,I5:   ONSITE Sessions 19+,I6:  ONSITE Sessions GENERAL INTEREST,ONSITE Attendance 0-5,ONSITE Attendance 6-11,ONSITE Attendance 12-18,ONSITE Attendance 19+,ONSITE Attendance General Interest,OFFSITE Sessions 0-5,OFFSITE Sessions 6-11,OFFSITE Sessions 12-18,OFFSITE Sessions 19+,OFFSITE Sessions General Interest,OFFSITE Attendance 0-5,OFFSITE Attendance 6-11,OFFSITE Attendance 12-18,OFFSITE Attendance 19+,OFFSITE Attendance General Interest,VIRTUAL Sessions 0-5,VIRTUAL Sessions 6-11,VIRTUAL Sessions 12-18,VIRTUAL Sessions 19+,VIRTUAL Sessions General Interest,VIRTUAL Attendance 0-5,VIRTUAL Attendance 6-11,VIRTUAL Attendance 12-18,VIRTUAL Attendance 19+,VIRTUAL Attendance General Interest,I21: NUMBER OF OUTREACH ACTIVITIES Conducted,Outreach Attendance (YCL Internal),"I22: TOTAL # TAKE & MAKES and OTHER PASSIVE PROGRAM PARTICIPANTS
",I23: NUMBER OF STAFF TAKING TRAINING,I24: NUMBER OF HOURS STAFF ATTENDED TRAINING,1-on-1 Total for Month,Email Address,Year,Locker Circulation
3,March,CLOVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,LAKE WYLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,ROCK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,OUTREACH / BOOKMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
3,March,ROCK HILL,209,,15555,2125,3342,6,17206,141,,6,131,2981,6480,852,31,5,13,27,6,1188,116,155,277,106,,,,,,,,,,,,,,,,,,,,,,,13,42,41,10,,2025,
3,March,CLOVER,37,,2402,208,457,0,2858,66,,,,1046,1961,253,7,2,2,6,1,62,14,11,48,10,,,,,,,,,,,,,,,,,,,,,,,21,16,20,0,,2025,
3,March,FORT MILL,208,,12513,810,1795,14,19038,30,,,,1805,6730,273,33,6,7,14,4,1059,88,75,128,145,,,,,,,,,,,,,,,,,,,,,,,6,6,13,0,,2025,
3,March,LAKE WYLIE,55,,3810,218,958,12,4857,18,,,,1414,2581,87,4,1,2,13,2,39,7,19,122,16,,,,,,,,,,,,,,,,,,,,,,,8,1,53,9,,2025,
3,March,YORK,62,,3798,458,1054,4,3862,121,,,,1352,2362,234,14,1,1,8,0,162,4,4,61,0,,,,,,,,,,,,,,,,,,,,,,,2,11,66,0,,2025,
3,March,OUTREACH / BOOKMOBILE,18,,507,,,,1184,4,,,,12,409,,4,0,0,0,0,123,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,,2025,
5,May,CLOVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,112
5,May,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,484
5,May,LAKE WYLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,178
5,May,ROCK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,315
5,May,YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,88
5,May,OUTREACH / BOOKMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
5,May,ROCK HILL,376,,17078,1972,3674,12,19243,122,,1,122,2986,6594,767,15,10,6,22,8,636,140,59,245,1644,,,,,,,,,,,,,,,,,,,,,,,4,15,15,7,,2025,
5,May,CLOVER,59,,2618,229,373,1,3426,69,,,,1169,1920,229,10,2,3,3,0,155,12,17,28,0,,,,,,,,,,,,,,,,,,,,,,,23,1,25,0,,2025,
5,May,FORT MILL,210,,12345,747,1578,4,20990,34,,,,1724,6894,301,21,5,5,10,5,714,70,84,96,894,,,,,,,,,,,,,,,,,,,,,,,6,6,4,0,,2025,
5,May,LAKE WYLIE,68,,3941,163,414,4,5447,17,,,,1498,2684,122,4,5,2,9,3,50,51,11,91,3,,,,,,,,,,,,,,,,,,,,,,,9,1,9,1,,2025,
5,May,YORK,64,,3958,451,694,2,4424,103,,,,1342,2364,266,10,3,7,9,1,135,72,7,69,112,,,,,,,,,,,,,,,,,,,,,,,2,1,9,0,,2025,
5,May,OUTREACH / BOOKMOBILE,69,,571,,,,1324,1,,,,11,272,,1,0,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,,2025,
11,November,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,martin.house@yclibrary.org,2025,
11,November,CLOVER,21,7,2435,213,426,1,4166,76,0,,0,,,840,4,4,4,8,1,40,41,39,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,7,30.5,5,madison.brennan@yclibrary.org,2025,59
11,November,LAKE WYLIE,38,2,3068,178,523,11,4116,17,1,,,,,153,4,4,2,8,0,35,31,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,767,10,90,3,rae.lovvorn@yclibrary.org,2025,143
11,November,FORT MILL,181,42,10748,788,1507,4,34845,56,5,,,,,1424,21,6,8,12,4,701,76,60,93,142,,,,,,,,,,,,,,,,,,,,,,,1433,18,140,,tom.holloway@yclibrary.org,2025,711
11,November,OUTREACH / BOOKMOBILE,9,4,1554,,,,3056,3,,,,,,,,,,,,,,,,,3,,,,,102,,,,,,,,,,,,,,,2,101,311,8,151.5,2,jennifer.strokis@yclibrary.org,2025,
11,November,YORK,49,29,4205,439,946,13,7503,91,0,,,,,965,11,3,1,7,,231,46,9,52,,,,,,,,,,,,,,,,,,,,,,1,52,40,16,100,0,jennifer.stanley@yclibrary.org,2025,96
11,November,ROCK HILL,17,2,0,0,0,0,31,0,0,3,71,1534,4781,0,0,0,0,0,0,0,0,0,0,0,13,3,15,11,7,255,56,1406,107,299,0,0,1,5,1,0,0,156,49,18,,,15,65,259,1,amanda.antonacci@yclibrary.org,2025,0
10,October,YORK,64,87,5553,657,1145,22,8931,125,0,,,,,2239,12,2,3,9,2,231,32,14,84,22,,,,,,,,,,,,,,,,,,,,,1,140,278,8,12,0,jennifer.stanley@yclibrary.org,2025,148
10,October,OUTREACH / BOOKMOBILE,12,16,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2428,264,6,113,4,jennifer.strokis@yclibrary.org,2025,
10,October,LAKE WYLIE,49,13,3918,193,668,11,5737,26,2,,,,,1056,4,5,2,10,1,48,30,13,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,2,10,6,rae.lovvorn@yclibrary.org,2025,254
10,October,CLOVER,26,6,3167,271,531,1,5548,88,0,,,,,1053,6,3,5,8,1,67,38,28,35,3,,,,,,,,,,,,,,,,,,,,,,,638,6,28,2,madison.brennan@yclibrary.org,2025,126
10,October,FORT MILL,211,53,13504,921,1956,,23486,65,5,,,,,1494,31,5,8,12,5,1194,72,73,109,162,,,,,,,,,,,,,,,,,,,,,1,250,1688,2,2,,tom.holloway@yclibrary.org,2025,707
10,October,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.5,,martin.house@yclibrary.org,2025,
10,October,ROCK HILL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martin.house@yclibrary.org,2025,38
9,September,OUTREACH / BOOKMOBILE,16,113,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,260,136,,,5,jennifer.strokis@yclibrary.org,2025,
9,September,LAKE WYLIE,48,11,3974,216,594,9,5549,18,2,,,,,351,5,4,2,13,2,65,31,11,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,3,15,3,rae.lovvorn@yclibrary.org,2025,294
9,September,YORK,64,67,4490,497,809,8,6762,93,0,,,,,1602,9,2,0,9,1,184,64,0,65,13,,,,,,,,,,,,,,,,,,,,,2,330,275,0,0,0,jennifer.stanley@yclibrary.org,2025,125
9,September,CLOVER,41,14,2893,294,472,2,5324,69,0,0,0,0,0,676,4,4,4,8,1,38,48,29,59,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,6,19,4,madison.brennan@yclibrary.org,2025,103
9,September,ROCK HILL,210,172,14788,1909,3690,18,16046,117,36,4,137,,,3193,21,4,13,23,4,847,106,116,,284,0,4,2,6,5,0,1278,51,126,656,0,0,0,2,1,0,0,0,29,98,,,135,7,37.3,9,amanda.antonacci@yclibrary.org,2025,301
9,September,FORT MILL,200,61,11114,733,1860,,21893,33,5,,,,,2008,35,6,9,14,4,1301,87,79,116,203,,,,,,,,,,,,,,,,,,,,,,,1475,,,,tom.holloway@yclibrary.org,2025,909
1,January,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10.5,,martin.house@yclibrary.org,2026,
1,January,LAKE WYLIE,64,12,3615,166,514,7,5708,29,1,,,,,568,4,5,1,9,0,46,22,12,89,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,4,12,5,rae.lovvorn@yclibrary.org,2026,193
1,January,CLOVER,36,10,2648,202,491,0,4823,64,0,,,,,700,5,3,4,5,1,32,28,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,287,7,22,2,madison.brennan@yclibrary.org,2026,121
1,January,OUTREACH / BOOKMOBILE,10,37,1556,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47.5,3,jennifer.strokis@yclibrary.org,2026,
1,January,YORK,62,37,4582,415,,24,7362,102,0,,,,,1766,11,3,1,6,0,231,55,7,45,0,,,,,,,,,,,,,,,,,,,,,,,154,2,6,0,jennifer.stanley@yclibrary.org,2026,154
1,January,YORK,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jennifer.stanley@yclibrary.org,2026,
1,January,FORT MILL,234,62,12721,779,1715,8,40953,71,5,,,,,1504,31,5,6,11,4,1270,68,46,93,183,,,,,,,,,,,,,,,,,,,,,,,1392,1,1,,tom.holloway@yclibrary.org,2026,646
1,January,ROCK HILL,1,83,0,0,0,0,992,0,0,1,67,1110,6578,0,0,0,0,0,0,0,0,0,0,0,16,3,11,12,5,337,57,270,96,196,0,0,0,2,0,0,0,0,22,0,0,0,64,66,132,0,amanda.antonacci@yclibrary.org,2026,0
2,February,LAKE WYLIE,47,19,3382,192,290,10,4042,23,0,,,,,593,7,5,2,10,0,77,51,18,83,0,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,13,121,7,rae.lovvorn@yclibrary.org,2026,151
2,February,YORK,65,12,4167,423,877,17,7854,110,0,,,,,849,7,3,2,6,1,131,45,9,47,5,,,,,,,,,,,,,,,,,,,,,,,251,18,147,0,jennifer.stanley@yclibrary.org,2026,110
2,February,FORT MILL,211,38,12673,907,1579,11,39230,64,5,,,,,1875,15,5,10,13,4,624,73,100,1,236,,,,,,,,,,,,,,,,,,,,,,,2292,23,177,,tom.holloway@yclibrary.org,2026,126
2,February,OUTREACH / BOOKMOBILE,19,84,841,,,,2226,,,,,,,,,,,,,,,,,,3,,,2,,91,,,25,,,,,,,,,,,,2,45,1,5,42,5,jennifer.strokis@yclibrary.org,2026,
2,February,CLOVER,27,5,2568,232,450,3,4894,58,0,,,,,773,8,2,2,7,1,91,14,12,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,11,101.5,3,madison.brennan@yclibrary.org,2026,138
3,March,CLOVER,24,13,3113,230,513,2,4877,83,0,,,,,1346,7,4,2,7,0,87,21,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,7,30.5,1,madison.brennan@yclibrary.org,2026,199
3,March,LAKE WYLIE,59,22,3783,175,626,12,4975,18,2,,,,,811,5,4,2,13,0,70,29,16,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,3,26,9,rae.lovvorn@yclibrary.org,2026,198
3,March,FORT MILL,223,42,14045,1042,1807,10,42370,79,5,,,,,3408,33,6,8,10,4,1370,81,76,87,230,,,,,,,,,,,,,,,,,,,,,2,550,1352,1,1,,tom.holloway@yclibrary.org,2026,126
3,March,OUTREACH / BOOKMOBILE,7,31,892,,,,3218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,36.5,3,jennifer.strokis@yclibrary.org,2026,
3,March,YORK,63,8,4900,506,912,16,7611,107,0,,,,,1943,13,3,2,7,,295,75,11,60,,,,,,,,,,,,,,,,,,,,,,1,120,135,2,6,0,jennifer.stanley@yclibrary.org,2026,117
3,March,ROCK HILL,5,293,0,0,0,0,"3,708",0,0,2,77,955,"6,295",0,0,0,0,0,0,0,0,0,0,0,14,2,7,11,5,431,28,248,91,247,0,0,0,2,0,0,0,0,20,0,0,0,50,30,56.75,0,amanda.antonacci@yclibrary.org,2026,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
